DATE,TLAACBW027SBOG
2018-08-15,16713.0391
2018-08-22,16709.8092
2018-08-29,16676.3756
2018-09-05,16686.1686
2018-09-12,16688.2628
2018-09-19,16689.5702
2018-09-26,16739.7056
2018-10-03,16805.3543
2018-10-10,16783.4579
2018-10-17,16770.0231
2018-10-24,16819.0245
2018-10-31,16807.1425
2018-11-07,16771.5675
2018-11-14,16818.7133
2018-11-21,16795.3629
2018-11-28,16819.039
2018-12-05,16881.9817
2018-12-12,16892.8612
2018-12-19,16891.6892
2018-12-26,17015.4021
2019-01-02,17029.3301
2019-01-09,16967.3126
2019-01-16,16925.948
2019-01-23,16938.1597
2019-01-30,16978.2404
2019-02-06,17003.6638
2019-02-13,17031.1879
2019-02-20,17007.965
2019-02-27,17048.3308
2019-03-06,17055.4668
2019-03-13,17061.3941
2019-03-20,17091.8466
2019-03-27,17143.7203
2019-04-03,17147.9514
2019-04-10,17112.9821
2019-04-17,17093.0852
2019-04-24,17117.8228
2019-05-01,17128.2514
2019-05-08,17165.6859
2019-05-15,17235.4099
2019-05-22,17149.518
2019-05-29,17170.8792
2019-06-05,17254.4274
2019-06-12,17311.8839
2019-06-19,17301.4569
2019-06-26,17348.9207
2019-07-03,17380.0646
2019-07-10,17329.4627
2019-07-17,17337.9208
2019-07-24,17343.0423
2019-07-31,17351.2167
2019-08-07,17480.6048
2019-08-14,17451.2852
2019-08-21,17424.3823
2019-08-28,17446.6954
2019-09-04,17459.4504
2019-09-11,17437.5439
2019-09-18,17412.6725
2019-09-25,17493.1362
2019-10-02,17569.7836
2019-10-09,17556.8053
2019-10-16,17573.0005
2019-10-23,17556.6488
2019-10-30,17534.6606
2019-11-06,17596.208
2019-11-13,17616.7902
2019-11-20,17578.4672
2019-11-27,17635.156
2019-12-04,17669.6392
2019-12-11,17750.891
2019-12-18,17738.1586
2019-12-25,17734.7195
2020-01-01,17673.6571
2020-01-08,17752.1631
2020-01-15,17779.9246
2020-01-22,17747.0131
2020-01-29,17801.3008
2020-02-05,17819.9892
2020-02-12,17794.9763
2020-02-19,17904.9478
2020-02-26,17894.3658
2020-03-04,18130.3623
2020-03-11,18247.2972
2020-03-18,18670.6671
2020-03-25,19329.4455
2020-04-01,19618.7907
2020-04-08,19583.6346
2020-04-15,19964.5453
2020-04-22,20181.9078
2020-04-29,20325.5555
2020-05-06,20298.2744
2020-05-13,20277.7055
2020-05-20,20271.4723
2020-05-27,20212.0173
2020-06-03,20158.5929
2020-06-10,20183.2906
2020-06-17,20186.9677
